"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","1","Your finances deserve a deliberate plan.","40","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","1","Privacy Policy","14","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","1","Built on Experience. Driven by Purpose.","39","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","1","Insights for Thoughtful Financial Decisions","43","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","1","Planning for Your Child’s Lifetime—With Someone Who Gets It","59","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","1","Your Business Is Your Biggest Asset. Your Family Is Your Biggest Priority.","74","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","1","Financial Planning That Sees the Whole Picture","46","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","1","Disclosures","11","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","1","Retirement Is a Financial Transition, Not a Finish Line","55","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","1","Terms of Use","12","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/contact","1","Get in Touch","12","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/investment-management","1","Investing in Service of Your Plan","33","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/adv","1","ADV Part 2","10","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/get-started","1","Let's Build Your Plan Together","30","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/autism-resource-navigator","1","FamilyVest Autism Resource Navigator","36","Non-Indexable","Canonicalised,noindex"
